dates,supporters,leaders,volunteers,total
2000-03-31,,,,
2000-06-30,,,,
2000-09-30,,,,
2000-12-31,,,,
2001-03-31,,,,
2001-06-30,,,,
2001-09-30,,,,
2001-12-31,,,,
2002-03-31,,,,
2002-06-30,,,,
2002-09-30,,,,
2002-12-31,,,,
2003-03-31,,,,
2003-06-30,,,,
2003-09-30,,,,
2003-12-31,,,,
2004-03-31,,,,
2004-06-30,,,,
2004-09-30,,,,
2004-12-31,,,,
2005-03-31,,,,
2005-06-30,,,,
2005-09-30,,,,
2005-12-31,,,,
2006-03-31,,,,
2006-06-30,,,,
2006-09-30,,,,
2006-12-31,,,,
2007-03-31,,,,
2007-06-30,,,,
2007-09-30,,,,
2007-12-31,,,,
2008-03-31,,,,
2008-06-30,,,,
2008-09-30,,,,
2008-12-31,,,,
2009-03-31,,,,
2009-06-30,,,,
2009-09-30,,,,
2009-12-31,,,,
2010-03-31,,,,
2010-06-30,,,,
2010-09-30,,,,
2010-12-31,,,,
2011-03-31,,,,
2011-06-30,,,,
2011-09-30,,,,
2011-12-31,,,,
2012-03-31,,,,
2012-06-30,,,,
2012-09-30,,,,
2012-12-31,,,,
2013-03-31,,,,
2013-06-30,,,,
2013-09-30,,,,
2013-12-31,,,,
2014-03-31,,,,
2014-06-30,,,,
2014-09-30,,,,
2014-12-31,,,,
2015-03-31,,,,
2015-06-30,,,,
2015-09-30,,,,
2015-12-31,,,,
2016-03-31,,,,
2016-06-30,,,,
2016-09-30,,,,
2016-12-31,,,,
2017-03-31,,,,
2017-06-30,,,,
2017-09-30,738.0,9.0,8.0,755.0
2017-12-31,831.0,11.0,10.0,852.0
2018-03-31,849.0,13.0,11.0,873.0
2018-06-30,871.0,14.0,15.0,900.0
2018-09-30,1005.0,19.0,16.0,1040.0
2018-12-31,1089.0,20.0,26.0,1135.0
2019-03-31,1249.0,26.0,29.0,1304.0
2019-06-30,1735.0,32.0,42.0,1809.0
2019-09-30,1898.0,37.0,115.0,2050.0
2019-12-31,2509.0,50.0,519.0,3078.0
2020-03-31,2560.0,55.0,525.0,3140.0
